Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant
2019 BMW 5 Series 530d M Sport [2013-2017],5800000.0,13700.0,Diesel,"Banjara Hills Hyderabad, Hyderabad",2019,BMW,5,Series 530d M Sport
2019 Mercedes-Benz GLE 300d 4MATIC LWB [2020-2023],7000000.0,63818.0,Diesel,"Jubilee Hills, Hyderabad",2019,Mercedes-Benz,GLE,300d 4MATIC LWB
2017 Mercedes-Benz GLE 250 d,3900000.0,106207.0,Diesel,"Jubilee Hills, Hyderabad",2017,Mercedes-Benz,GLE,250 d
2018 Hyundai Eon Sportz,339000.0,18286.0,Petrol,"Madhapur, Hyderabad",2018,Hyundai,Eon,Sportz
2019 BMW 6 Series GT 620d Luxury Line [2019-2019],5400000.0,69590.0,Diesel,"Jubilee Hills, Hyderabad",2019,BMW,6,Series GT 620d Luxury Line
2018 Audi Q3 30 TDI Premium FWD,2500000.0,41560.0,Diesel,"Madhapur, Hyderabad",2018,Audi,Q3,30 TDI Premium FWD
2014 Toyota Innova 2.5 VX 7 STR BS-IV,1020000.0,219000.0,Diesel,"Manikonda, Hyderabad",2014,Toyota,Innova,2.5 VX 7 STR BS-IV
2021 Volkswagen T-Roc 1.5 TSI,1800000.0,32000.0,Petrol,Hyderabad,2021,Volkswagen,T-Roc,1.5 TSI
2020 Maruti Suzuki Alto 800 LXi (O),350000.0,67551.0,Petrol,"Khairatabad H O, Hyderabad",2020,Maruti,Suzuki,Alto 800 LXi (O)
2019 Renault Kwid RXL,350000.0,32715.0,Petrol,"Khairatabad H O, Hyderabad",2019,Renault,Kwid,RXL
2017 Maruti Suzuki Alto 800 Vxi,330000.0,46488.0,Petrol,"Khairatabad H O, Hyderabad",2017,Maruti,Suzuki,Alto 800 Vxi
2018 Audi Q3 30 TDI Premium FWD,2700000.0,42224.0,Diesel,"Madhapur, Hyderabad",2018,Audi,Q3,30 TDI Premium FWD
2021 Mercedes-Benz GLS 400d 4MATIC [2020-2023],12500000.0,45031.0,Diesel,"Madhapur, Hyderabad",2021,Mercedes-Benz,GLS,400d 4MATIC
2016 Skoda Octavia Style TDI AT,1500000.0,74035.0,Diesel,"Madhapur, Hyderabad",2016,Skoda,Octavia,Style TDI AT
2013 Ford EcoSport Titanium 1.5 TDCi,531020.0,68381.0,Diesel,"L B Nagar, Hyderabad",2013,Ford,EcoSport,Titanium 1.5 TDCi
2017 Tata Tiago Revotron XZA [2017-2019],461000.0,57920.0,Petrol,"L B Nagar, Hyderabad",2017,Tata,Tiago,Revotron XZA
2018 Honda Amaze 1.5 V MT Diesel [2018-2020],737000.0,33476.0,Diesel,"L B Nagar, Hyderabad",2018,Honda,Amaze,1.5 V MT Diesel
2021 Tata Tiago Revotron XZ Plus Dual Tone,619000.0,33436.0,Petrol,"Hankimpet, Hyderabad",2021,Tata,Tiago,Revotron XZ Plus Dual Tone
2015 Maruti Suzuki Swift VXi,533472.0,34717.0,Petrol,"L B Nagar, Hyderabad",2015,Maruti,Suzuki,Swift VXi
2018 Tata Tiago Revotron XT [2016-2019],436000.0,75958.0,Petrol,"Bakaram, Hyderabad",2018,Tata,Tiago,Revotron XT
2021 Volkswagen Polo Comfortline 1.0L TSI,818000.0,28640.0,Petrol,"L B Nagar, Hyderabad",2021,Volkswagen,Polo,Comfortline 1.0L TSI
2020 Toyota Vellfire Hybrid,11000000.0,13136.0,Hybrid,"Madhapur, Hyderabad",2020,Toyota,Vellfire,Hybrid
2023 Hyundai Verna SX (O)1.5 MPi,1490000.0,14470.0,Petrol,"Khairatabad H O, Hyderabad",2023,Hyundai,Verna,SX (O)1.5 MPi
2020 Kia Sonet GTX Plus 1.5 [2020-2021],1350000.0,60702.0,Diesel,"Madhapur, Hyderabad",2020,Kia,Sonet,GTX Plus 1.5
2020 Tata Tiago Revotron XE [2016-2019],470000.0,57810.0,Petrol,"Hankimpet, Hyderabad",2020,Tata,Tiago,Revotron XE
2016 Maruti Suzuki Swift VXi [2014-2017],540000.0,70763.0,Petrol,"L B Nagar, Hyderabad",2016,Maruti,Suzuki,Swift VXi
2019 Skoda Octavia 1.8 TSI L&K,1950000.0,57537.0,Petrol,"Madhapur, Hyderabad",2019,Skoda,Octavia,1.8 TSI L&K
2021 Tata Altroz XE Petrol [2020-2023],577000.0,46658.0,Petrol,"Bakaram, Hyderabad",2021,Tata,Altroz,XE Petrol
2014 Mercedes-Benz CLA 200 CDI Style,2000000.0,60389.0,Diesel,"Madhapur, Hyderabad",2014,Mercedes-Benz,CLA,200 CDI Style
2015 Mercedes-Benz CLS 250 CDI,2750000.0,95000.0,Diesel,"Attapur, Hyderabad",2015,Mercedes-Benz,CLS,250 CDI
2022 Land Rover Discovery Sport SE R-Dynamic,7500000.0,8800.0,Diesel,"Attapur, Hyderabad",2022,Land,Rover,Discovery Sport SE R-Dynamic
2018 BMW 7 Series 730Ld,7750000.0,24200.0,Diesel,"Attapur, Hyderabad",2018,BMW,7,Series 730Ld
2014 Hyundai Santa Fe 4 WD (AT),1150000.0,109296.0,Diesel,"Madhapur, Hyderabad",2014,Hyundai,Santa,Fe 4 WD (AT)
2012 Audi A4 2.0 TDI (143 bhp),800000.0,39876.0,Diesel,"Madhapur, Hyderabad",2012,Audi,A4,2.0 TDI (143 bhp)
2017 Ford EcoSport Titanium 1.5L Ti-VCT AT,759395.0,79181.0,Petrol,"Bakaram, Hyderabad",2017,Ford,EcoSport,Titanium 1.5L Ti-VCT AT
2019 Tata Tiago Revotron XZ,544000.0,26907.0,Petrol,"Hankimpet, Hyderabad",2019,Tata,Tiago,Revotron XZ
2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,"Bakaram, Hyderabad",2018,Tata,Tiago,Revotron XZ
2018 Audi Q5 35 TDI Technology,3500000.0,80160.0,Diesel,"Jubilee Hills, Hyderabad",2018,Audi,Q5,35 TDI Technology
2022 Maruti Suzuki Swift ZXi Plus AMT Dual Tone [2021-2023],824000.0,31707.0,Petrol,"L B Nagar, Hyderabad",2022,Maruti,Suzuki,Swift ZXi Plus AMT Dual Tone
2021 Audi RS5 Sportback,8500000.0,15965.0,Petrol,"Jubilee Hills, Hyderabad",2021,Audi,RS5,Sportback
2018 Audi Q7 45 TDI Technology Pack,4900000.0,81332.0,Diesel,"Madhapur, Hyderabad",2018,Audi,Q7,45 TDI Technology Pack
2013 Mercedes-Benz E-Class E220 CDI Blue Efficiency,1400000.0,46700.0,Diesel,"Attapur, Hyderabad",2013,Mercedes-Benz,E-Class,E220 CDI Blue Efficiency
2018 Hyundai Verna 1.6 VTVT SX,828800.0,32982.0,Petrol,"L B Nagar, Hyderabad",2018,Hyundai,Verna,1.6 VTVT SX
2014 Maruti Suzuki Swift VXi,456000.0,70724.0,Petrol,"L B Nagar, Hyderabad",2014,Maruti,Suzuki,Swift VXi
2015 Maruti Suzuki Wagon R 1.0 VXI,404000.0,24867.0,Petrol,"L B Nagar, Hyderabad",2015,Maruti,Suzuki,Wagon R 1.0 VXI
2018 Tata Tiago Revotron XZ,470000.0,63258.0,Petrol,"Hankimpet, Hyderabad",2018,Tata,Tiago,Revotron XZ
2018 Honda Amaze 1.2 VX i-VTEC,633000.0,43190.0,Petrol,"L B Nagar, Hyderabad",2018,Honda,Amaze,1.2 VX i-VTEC
2019 Tata Tiago Revotron XZ,482000.0,71487.0,Petrol,"Hankimpet, Hyderabad",2019,Tata,Tiago,Revotron XZ
2022 Tata Tiago Revotron XZA Plus,709000.0,17374.0,Petrol,"L B Nagar, Hyderabad",2022,Tata,Tiago,Revotron XZA Plus
2021 Tata Tiago Revotron XZA Plus,695000.0,8753.0,Petrol,"L B Nagar, Hyderabad",2021,Tata,Tiago,Revotron XZA Plus
2019 Land Rover Range Rover 4.4 SDV8 Autobiography LWB,7580000.0,86000.0,Diesel,"Attapur, Hyderabad",2019,Land,Rover,Range Rover 4.4 SDV8 Autobiography LWB
2023 Toyota Vellfire VIP – Executive Lounge,6163500.0,19800.0,Hybrid,"Attapur, Hyderabad",2023,Toyota,Vellfire,VIP – Executive Lounge
2021 Tata Tiago Revotron XZA Plus,688000.0,31090.0,Petrol,"L B Nagar, Hyderabad",2021,Tata,Tiago,Revotron XZA Plus
2016 Honda Amaze 1.2 S i-VTEC,472800.0,47097.0,Petrol,"L B Nagar, Hyderabad",2016,Honda,Amaze,1.2 S i-VTEC
2022 Tata Altroz XZA Plus Petrol Dark Edtion [2022-2023],841000.0,28466.0,Petrol,"Bakaram, Hyderabad",2022,Tata,Altroz,XZA Plus Petrol Dark Edtion
2015 Maruti Suzuki Swift VXi,533042.0,33371.0,Petrol,"L B Nagar, Hyderabad",2015,Maruti,Suzuki,Swift VXi
2015 Hyundai Verna Fluidic 1.6 VTVT SX Opt,623000.0,74740.0,Petrol,"L B Nagar, Hyderabad",2015,Hyundai,Verna,Fluidic 1.6 VTVT SX Opt
2020 Tata Altroz XZ Petrol [2020-2023],678000.0,52295.0,Petrol,"Hankimpet, Hyderabad",2020,Tata,Altroz,XZ Petrol
